t,v_euler,v_analitica,error_absoluto
0.0,0.0,0.0,0.0
0.2,1.9620000000000002,1.913757382591982,0.04824261740801816
0.4,3.8259000000000003,3.7341797162689487,0.09172028373105157
0.6000000000000001,5.596605,5.465819005080732,0.13078599491926823
0.8,7.27877475,7.113005249219993,0.16576950078000685
1.0,8.8768360125,8.679857272278072,0.19697874022192785
1.2,10.394994211875,10.17029302044939,0.22470119142560918
1.4,11.83724450128125,11.588039359437685,0.24920514184356435
1.5999999999999999,13.207382276217187,12.936641393561514,0.270740882655673
1.7999999999999998,14.509013162406328,14.219471330361616,0.28954183204471207
1.9999999999999998,15.745562504286012,15.439736912876265,0.3058255914097465
2.1999999999999997,16.92028437907171,16.6004894406697,0.31979493840200846
2.4,18.036270160118125,17.7046313996704,0.3316387604477242
2.6,19.09645665211222,18.754923719897732,0.34153293221448777
2.8000000000000003,20.10363381950661,19.753992679225096,0.3496411402815127
3.0000000000000004,21.060452128531278,20.704336470442588,0.35611565808869017
3.2000000000000006,21.969429522104715,21.60833144804023,0.36109807406448624
3.400000000000001,22.83295804599948,22.46823807033197,0.3647199756675086
3.600000000000001,23.653310143699507,23.286206551778896,0.3671035919206105
3.800000000000001,24.43264463651453,24.064282239645376,0.3683623968691556
4.000000000000001,25.173012404688805,24.804410728432607,0.36860167625619766
4.200000000000001,25.876361784454364,25.508442724878268,0.3679190595760957
4.400000000000001,26.544543695231646,26.17813867568736,0.3664050195442847
4.600000000000001,27.179316510470063,26.81517316956596,0.3641433409041035
4.800000000000002,27.78235068494656,27.421139124565197,0.3612115603813635
5.000000000000002,28.355233150699235,27.997551771206147,0.3576813794930871
5.200000000000002,28.899471493164274,28.54585244134535,0.3536190518189244
5.400000000000002,29.41649791850606,29.06741217225522,0.34908574625083943
5.600000000000002,29.907673022580756,29.563535134931367,0.3441378876493886
5.8000000000000025,30.374289371451717,30.035461895199386,0.33882747625233023
6.000000000000003,30.81757490287913,30.484372515775622,0.33320238710350836
6.200000000000003,31.238696157735173,30.91138950703861,0.3273066506965634
6.400000000000003,31.638761349848416,31.31758063388973,0.32118071595868614
6.600000000000003,32.018823282355996,31.703961585721615,0.3148616966343809
6.800000000000003,32.37988211823819,32.0714985161707,0.3083836020674937
7.0000000000000036,32.72288801232628,32.421110459004545,0.3017775533217346
7.200000000000004,33.048743611709966,32.753671626184946,0.2950719855250199
7.400000000000004,33.35830643112447,33.07001359385326,0.28829283727120725
7.600000000000004,33.65239110956824,33.37092738170381,0.2814637278644341
7.800000000000004,33.93177155408983,33.65716543094521,0.27460612314461486
8.000000000000004,34.197182976385335,33.929443485795325,0.2677394905900101
8.200000000000003,34.44932382756607,34.188442383214564,0.2608814443515044
8.400000000000002,34.68885763618776,34.434809755352994,0.2540478808347686
8.600000000000001,34.91641475437837,34.66916164896798,0.24725310541039391
8.8,35.13259401665945,34.89208406586202,0.24050995079743132
9.0,35.33796431582648,35.104134428192445,0.23382988763403745
9.2,35.53306610003516,35.30584297231718,0.22722312771797704
9.399999999999999,35.7184127950334,35.49771407466183,0.22069872037157268
9.599999999999998,35.89449215528173,35.68022751292345,0.21426464235828035
9.799999999999997,36.06176754751765,35.8538396657647,0.2079278817529442
9.999999999999996,36.220679170141764,36.01898465399821,0.20169451614355438
