t,V_euler,V_analitica,error_absoluto
0.0,0.0,0.0,0.0
0.25,1.25,1.1059960846429755,0.1440039153570245
0.5,2.1875,1.9673467014368329,0.22015329856316712
0.75,2.890625,2.6381672362949264,0.25245776370507356
1.0,3.41796875,3.1606027941427883,0.25736595585721167
1.25,3.8134765625,3.5674760156990493,0.24600054680095074
1.5,4.110107421875,3.884349199257851,0.22575822261714906
1.75,4.33258056640625,4.131130282747774,0.20145028365847573
2.0,4.4994354248046875,4.323323583816936,0.17611184098775112
2.25,4.624576568603516,4.473003877190679,0.15157269141283702
2.5,4.718432426452637,4.589575006880506,0.12885741957213082
2.75,4.7888243198394775,4.680360693966462,0.10846362587301517
3.0,4.841618239879608,4.75106465816068,0.09055358171892802
3.25,4.881213679909706,4.80612896084139,0.07508471906831637
3.5,4.91091025993228,4.8490130828884075,0.0618971770438721
3.75,4.93318269494921,4.882411270719954,0.0507714242292554
4.0,4.949887021211907,4.908421805556329,0.04146521565557837
4.25,4.9624152659089305,4.928678830455004,0.03373643545392646
4.5,4.971811449431698,4.944455017308789,0.02735643212290917
4.75,4.978858587073773,4.956741523984397,0.02211706308937611
5.0,4.98414394030533,4.966310265004573,0.01783367530075708
